mojo_title,mc_criticscore,mc_criticcount,mc_audiencescore,mc_audiencecount
Star Wars: Episode VIII - The Last Jedi,84,56,4.2,9350
Annabelle: Creation,62,29,6.8,279
Murder on the Orient Express,52,46,6.4,408
Daddy's Home 2,86,53,7.8,1290
Fifty Shades Darker,33,39,3.1,255
Girls Trip,71,35,5.6,104
Sing,59,37,6.2,248
La La Land,94,54,8.4,2215
Made in France,tbd,4,No score yet,
Black Panther,88,55,6.3,3303
A Man Vanishes,92,5,9.0,4
1945,73,13,7.4,8
Henchmen,Link error,Link error,Link error,Link error
A Breath Away,Link error,Link error,Link error,Link error
Sgt. Stubby: An American Hero,44,11,6.8,4
Senso,81,7,No score yet,
Realms,42,9,No score yet,
Over the Limit,91,4,No score yet,
Tall Tales from the Magical Garden of Antoon Krings,Link error,Link error,Link error,Link error
Never-Ending Man: Hayao Miyazaki,64,8,No score yet,
Serendipity,Link error,Link error,Link error,Link error
In Safe Hands,Link error,Link error,Link error,Link error
Indivisible,80,10,No score yet,
I Am Not A Witch,79,19,7.6,11
For Those Who Don't Read Me,Link error,Link error,Link error,Link error
Narcissister Organ Player,69,5,No score yet,
The Hours and Times,Link error,Link error,Link error,Link error
A Fish in the Bathtub,Link error,Link error,Link error,Link error
Tea With the Dames,85,19,7.4,8
American Playhouse: The Killing Floor,Link error,Link error,Link error,Link error
Joan the Maid 1: The Battles,Link error,Link error,Link error,Link error
"No Date, No Signature",Link error,Link error,Link error,Link error
Detour,55,9,No score yet,
Iceman,32,4,3.2,6
I Lost Albert,32,11,No score yet,
TINY: The Life of Erin Blackwell,63,12,No score yet,
Filmworker,73,19,7.7,7
Bauhaus Spirit: 100 Years of Bauhaus,78,4,6.8,5
The Wandering Soap Opera,Link error,Link error,Link error,Link error
Mother of a Day,Link error,Link error,Link error,Link error
The Gliksmans,Link error,Link error,Link error,Link error
State Like Sleep,48,14,No score yet,
100 Acres of Hell,56,5,No score yet,
A Cool Fish,Link error,Link error,Link error,Link error
I'm Leaving Now,Link error,Link error,Link error,Link error
Wallflower,47,7,6.0,7
