title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Rough Night,"$22,105,643",N/A,N/A,Sony Pictures Entertainment (SPE),"$8,004,283","3,162 theaters","$20,000,000",R,"Comedy, Crime, Thriller","Jun 16, 2017"
Hostiles,"$29,819,114",N/A,N/A,Entertainment Studios Motion Pictures,"$22,849","2,934 theaters",N/A,R,"Drama, Western",N/A
Stuber,"$22,370,452",N/A,N/A,Twentieth Century Fox,"$8,225,384","3,050 theaters","$16,000,000",R,"Action, Comedy, Crime, Thriller","Jul 12, 2019"
Parasite,"$53,369,749",N/A,N/A,Neon,"$393,216","2,001 theaters","$11,400,000",R,"Comedy, Drama, Thriller",N/A
Booksmart,"$22,680,962",N/A,N/A,United Artists Releasing,"$6,933,620","2,518 theaters","$6,000,000",R,Comedy,"May 24, 2019"
A Dog's Journey,"$22,782,371",N/A,N/A,Universal Pictures,"$8,030,085","3,279 theaters","$16,000,000",PG,"Adventure, Comedy, Drama, Family, Fantasy","May 17, 2019"
On the Basis of Sex,"$24,622,687",N/A,N/A,Focus Features,"$686,355","1,957 theaters",N/A,PG-13,"Biography, Drama",N/A
Fighting with My Family,"$22,958,886",N/A,N/A,Metro-Goldwyn-Mayer (MGM),"$138,780","2,855 theaters","$11,000,000",PG-13,"Biography, Comedy, Drama, Sport",N/A
Ralph Breaks the Internet,"$201,091,711",N/A,N/A,Walt Disney Studios Motion Pictures,"$56,237,634","4,017 theaters","$175,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Nov 21, 2018"
Judy,"$24,313,888",N/A,N/A,Roadside Attractions,"$2,916,548","1,627 theaters",N/A,PG-13,"Biography, Drama, Romance",N/A
Uncut Gems,"$50,023,780",N/A,N/A,A24,"$537,242","2,686 theaters","$19,000,000",R,"Crime, Drama, Thriller",N/A
Countdown,"$25,621,766",N/A,N/A,STX Entertainment,"$8,865,082","2,675 theaters","$6,500,000",PG-13,"Horror, Thriller","Oct 25, 2019"
The Art of Racing in the Rain,"$26,395,642",N/A,N/A,Twentieth Century Fox,"$8,137,584","2,765 theaters","$18,000,000",PG,"Comedy, Drama, Romance, Sport","Aug 9, 2019"
