title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Made in France,"$9,956",N/A,"$9,956",Under The Milky Way,"$3,688",2 theaters,N/A,N/A,"Crime, Drama, Thriller","Sep 23, 2016"
Realms,$147,"$22,296","$22,443",The Film Arcade,$108,3 theaters,N/A,R,"Horror, Mystery","Sep 7, 2018"
Postcards from London,"$5,312","$10,236","$15,548",Strand Releasing,"$2,686",1 theater,N/A,N/A,Drama,"Nov 9, 2018"
Over the Limit,"$3,243",N/A,"$3,243",Film Movement,"$1,402",2 theaters,N/A,N/A,"Documentary, Sport","Oct 12, 2018"
Tall Tales from the Magical Garden of Antoon Krings,$220,"$14,340,506","$14,340,726",Viva Pictures,N/A,20 theaters,N/A,PG,"Adventure, Animation, Comedy, Family","Jan 11, 2019"
1945,"$1,006,193","$234,470","$1,240,663",Menemsha Films,"$20,365",19 theaters,N/A,N/A,Drama,"Nov 1, 2017"
Henchmen,"$1,469","$39,572","$41,041",Entertainment One,$580,3 theaters,N/A,N/A,"Animation, Comedy, Family, Fantasy","Dec 7, 2018"
A Breath Away,"$77,987","$2,764,053","$2,842,040",Entertainment One,"$16,046",12 theaters,N/A,N/A,"Drama, Mystery, Sci-Fi, Thriller","Aug 10, 2018"
In Safe Hands,"$1,737","$7,084,859","$7,086,596",Distrib Films,$348,1 theater,N/A,N/A,"Drama, Family","Jul 26, 2019"
Sgt. Stubby: An American Hero,"$4,015,935","$916,759","$4,932,694",Fun Academy Motion Pictures,"$1,164,403","1,633 theaters",N/A,PG,"Adventure, Animation, Family, History, War","Apr 13, 2018"
I Am Not A Witch,"$50,868","$131,594","$182,462",Film Movement,"$8,252",8 theaters,N/A,N/A,"Comedy, Drama","Sep 7, 2018"
Swimming with Men,"$24,708","$1,353,040","$1,377,748",IFC Films,"$10,336",31 theaters,N/A,N/A,"Comedy, Drama, Romance, Sport","Dec 7, 2018"
