mojo_title,url,tomato_title,tomato_criticscore,tomato_criticcount,tomato_audiencescore
Star Wars: Episode VIII - The Last Jedi,https://rottentomatoes.com/m/star_wars_the_last_jedi,Star Wars: The Last Jedi,90,placeholder,42
Annabelle: Creation,https://rottentomatoes.com/m/annabelle_creation,Annabelle: Creation,71,placeholder,67
Murder on the Orient Express,https://rottentomatoes.com/m/murder_on_the_orient_express_2017,Murder on the Orient Express,60,placeholder,53
Daddy's Home 2,https://rottentomatoes.com/m/daddys_home_2,Daddy's Home 2,21,placeholder,51
Baby Driver,https://rottentomatoes.com/m/baby_driver,Baby Driver,92,placeholder,86
Fifty Shades Darker,https://rottentomatoes.com/m/fifty_shades_darker,Fifty Shades Darker,11,placeholder,48
Girls Trip,https://rottentomatoes.com/m/girls_trip,Girls Trip,91,placeholder,78
Sing,https://rottentomatoes.com/m/sing_2016,Sing,71,placeholder,72
La La Land,https://rottentomatoes.com/m/la_la_land,La La Land,91,placeholder,81
Made in France,https://rottentomatoes.com/m/made_in_france_2016,Made in France,N/A,placeholder,67
Black Panther,https://rottentomatoes.com/m/black_panther_2018,Black Panther,96,placeholder,79
A Man Vanishes,https://rottentomatoes.com/m/a-man-vanishes-1967,A Man Vanishes,100,placeholder,81
1945,https://rottentomatoes.com/m/1945,1945,97,placeholder,80
Henchmen,https://rottentomatoes.com/m/henchmen_2020,Henchmen,30,placeholder,23
A Breath Away,https://rottentomatoes.com/m/toxic_2020,A Breath Away,N/A,placeholder,N/A
Sgt. Stubby: An American Hero,https://rottentomatoes.com/m/sgt_stubby_an_american_hero,Sgt. Stubby: An American Hero,89,placeholder,92
Swimming with Men,https://rottentomatoes.com/m/swimming_with_men,Swimming With Men,56,placeholder,58
Senso,https://rottentomatoes.com/m/sensoria,Sensoria,N/A,placeholder,N/A
Chinese Portrait,https://rottentomatoes.com/m/chinese_portrait,Chinese Portrait,90,placeholder,N/A
Realms,https://rottentomatoes.com/m/realms-of-blood,Realms of Blood,N/A,placeholder,N/A
Postcards from London,https://rottentomatoes.com/m/postcards_from_london,Postcards From London,50,placeholder,32
Over the Limit,https://rottentomatoes.com/m/over_the_limit,Over the Limit,100,placeholder,73
Tall Tales from the Magical Garden of Antoon Krings,https://rottentomatoes.com/m/tall_tales_from_the_magical_garden_of_antoon_krings,Tall Tales From the Magical Garden of Antoon Krings,N/A,placeholder,29
Never-Ending Man: Hayao Miyazaki,https://rottentomatoes.com/m/never_ending_man_hayao_miyazaki,Never-ending Man: Hayao Miyazaki,100,placeholder,100
Serendipity,https://rottentomatoes.com/m/serendipity_2019,Serendipity,77,placeholder,N/A
In Safe Hands,https://rottentomatoes.com/m/in_safe_hands,In Safe Hands,85,placeholder,N/A
Indivisible,https://rottentomatoes.com/m/indivisible_2018,Indivisible,74,placeholder,86
I Am Not A Witch,https://rottentomatoes.com/m/i_am_not_a_witch,I Am Not a Witch,96,placeholder,75
For Those Who Don't Read Me,https://rottentomatoes.com/m/for_those_who_can_tell_no_tales,For Those Who Can Tell No Tales,N/A,placeholder,100
The Untold Story,https://rottentomatoes.com/m/the_untold_story_2019,The Untold Story,N/A,placeholder,N/A
Narcissister Organ Player,https://rottentomatoes.com/m/narcissister_organ_player,Narcissister Organ Player,71,placeholder,N/A
The Hours and Times,https://rottentomatoes.com/m/the_hours_and_times,The Hours and Times,80,placeholder,60
A Fish in the Bathtub,https://rottentomatoes.com/m/a_fish_in_the_bathtub,A Fish in the Bathtub,N/A,placeholder,33
Tea With the Dames,https://rottentomatoes.com/m/tea_with_the_dames,Nothing Like a Dame,98,placeholder,77
American Playhouse: The Killing Floor,https://rottentomatoes.com/m/the_killing_floor,The Killing Floor,N/A,placeholder,32
Game Day,https://rottentomatoes.com/m/game_day,Game Day,N/A,placeholder,N/A
Joan the Maid 1: The Battles,https://rottentomatoes.com/m/joan_the_maid_1_the_battles,Joan the Maid: The Battles,86,placeholder,86
Little Q,https://rottentomatoes.com/m/little_q,Little Q,N/A,placeholder,N/A
Division 19,https://rottentomatoes.com/m/division_19,Division 19,8,placeholder,94
"No Date, No Signature",https://rottentomatoes.com/m/no_date_no_signature,"No Date, No Signature",90,placeholder,94
L'héritage de la chouette,https://rottentomatoes.com/m/bad_news_bears,Bad News Bears,48,placeholder,46
A German Youth,https://rottentomatoes.com/m/a_german_youth,A German Youth,100,placeholder,N/A
Divide and Conquer,https://rottentomatoes.com/m/divide_and_conquer_the_story_of_roger_ailes,Divide and Conquer: The Story of Roger Ailes,90,placeholder,77
Jihadists,https://rottentomatoes.com/m/jihadists,Salafistes,57,placeholder,N/A
Detour,https://rottentomatoes.com/m/detour_2017,Detour,65,placeholder,42
Iceman,https://rottentomatoes.com/m/iceman_2019,Iceman,87,placeholder,61
I Lost Albert,https://rottentomatoes.com/m/i_diavoli_della_guerra,War Devils,N/A,placeholder,N/A
The Kindness of Strangers,https://rottentomatoes.com/m/the_kindness_of_strangers_2019,The Kindness of Strangers,18,placeholder,65
TINY: The Life of Erin Blackwell,https://rottentomatoes.com/m/tiny_the_life_of_erin_blackwell,TINY: The Life of Erin Blackwell,100,placeholder,N/A
Chef Flynn,https://rottentomatoes.com/m/chef_flynn,Chef Flynn,75,placeholder,69
Filmworker,https://rottentomatoes.com/m/filmworker,Filmworker,95,placeholder,85
Bauhaus Spirit: 100 Years of Bauhaus,https://rottentomatoes.com/m/bauhaus_spirit,Bauhaus Spirit: 100 Years of Bauhaus,N/A,placeholder,N/A
Another Day of Life,https://rottentomatoes.com/m/another_day_of_life,Another Day of Life,89,placeholder,90
The Wandering Soap Opera,https://rottentomatoes.com/m/the_wandering_soap_opera,The Wandering Soap Opera,100,placeholder,67
Mother of a Day,https://rottentomatoes.com/m/assange_wikileaks,Julian Assange - A Modern Day Hero? Inside the World of Wikileaks,N/A,placeholder,N/A
Back to the Fatherland,https://rottentomatoes.com/m/back_to_the_fatherland_2019,Back to the Fatherland,44,placeholder,N/A
The Gliksmans,https://rottentomatoes.com/m/the_gliksmans_2019,The Gliksmans,N/A,placeholder,N/A
State Like Sleep,https://rottentomatoes.com/m/state_like_sleep,State Like Sleep,37,placeholder,16
100 Acres of Hell,https://rottentomatoes.com/m/100_acres_of_hell,100 Acres of Hell,N/A,placeholder,N/A
Chasing Portraits,https://rottentomatoes.com/m/chasing_portraits,Chasing Portraits,88,placeholder,N/A
A Cool Fish,https://rottentomatoes.com/m/a_cool_fish,A Cool Fish,20,placeholder,88
I'm Leaving Now,https://rottentomatoes.com/m/im_leaving_now,I'm Leaving Now,71,placeholder,60
Rottentail,https://rottentomatoes.com/m/rottentail,Rottentail,17,placeholder,93
Wallflower,https://rottentomatoes.com/m/wallflower_2019,Wallflower,50,placeholder,N/A
Crown Vic,https://rottentomatoes.com/m/crown_vic,Crown Vic,58,placeholder,74
Slaughterhouse Rulez,https://rottentomatoes.com/m/slaughterhouse_rulez,Slaughterhouse Rulez,39,placeholder,54
La Flor,https://rottentomatoes.com/m/la-florida,La Florida,N/A,placeholder,38
Kaili Blues,https://rottentomatoes.com/m/kaili_blues,Kaili Blues,97,placeholder,84
Ballet Blanc,https://rottentomatoes.com/m/ballet_blanc_2019,Ballet Blanc,N/A,placeholder,N/A
The Fate of Lee Khan,https://rottentomatoes.com/m/the_fate_of_lee_khan,The Fate of Lee Khan,89,placeholder,73
