mojo_title,imdbpicture,imdbscore,imdbcount,imdb_metacritic
Star Wars: Episode VIII - The Last Jedi,"https://m.media-amazon.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.0,"563,379",84
Annabelle: Creation,"https://m.media-amazon.com/images/M/MV5BMjA1MzIwMjMxNF5BMl5BanBnXkFtZTgwMDQ3NTc2MjI@._V1_UX67_CR0,0,67,98_AL_.jpg",6.5,"112,304",62
Murder on the Orient Express,"https://m.media-amazon.com/images/M/MV5BMTAxNDkxODIyMDZeQTJeQWpwZ15BbWU4MDQ2Mjg4NDIy._V1_UX67_CR0,0,67,98_AL_.jpg",6.5,"212,816",52
Daddy's Home 2,"https://m.media-amazon.com/images/M/MV5BNDA4Nzc1OTg2OV5BMl5BanBnXkFtZTgwODE3ODgwNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",6.0,"62,252",30
Baby Driver,"https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.6,"437,340",86
Fifty Shades Darker,"https://m.media-amazon.com/images/M/MV5BMTQ5NTk0Njg2N15BMl5BanBnXkFtZTgwNzk5Nzk3MDI@._V1_UX67_CR0,0,67,98_AL_.jpg",4.6,"91,722",33
Girls Trip,"https://m.media-amazon.com/images/M/MV5BMjMwNTEzODUwMV5BMl5BanBnXkFtZTgwNjE5NjA5MjI@._V1_UX67_CR0,0,67,98_AL_.jpg",6.2,"34,226",71
Sing,"https://m.media-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_UX67_CR0,0,67,98_AL_.jpg",7.1,"133,631",59
La La Land,"https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",8.0,"503,825",94
Made in France,"https://m.media-amazon.com/images/M/MV5BMjYzOWM3MTAtMDc0OS00YWMxLTgxOTItMzMyZTAyZDgxMzhjXkEyXkFqcGdeQXVyMzMwODMxMTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",6.2,"2,048",
Black Panther,"https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.3,"623,354",88
A Man Vanishes,"https://m.media-amazon.com/images/M/MV5BMjIzNDI1MzExMV5BMl5BanBnXkFtZTcwNzIyODYyOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.2,635,92
1945,"https://m.media-amazon.com/images/M/MV5BOWZmMWViYjctNTIzNi00YTZhLWE0NGItMmZlMWNjMDBhM2Q0XkEyXkFqcGdeQXVyMjIzMDAwOTc@._V1_UY98_CR1,0,67,98_AL_.jpg",7.1,"3,292",73
Henchmen,"https://m.media-amazon.com/images/M/MV5BN2IzYmUwODMtMTkzMC00MDEyLThmNDYtYzY5ZGIzM2MxNzRlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",5.1,500,
A Breath Away,"https://m.media-amazon.com/images/M/MV5BMzkxNjUwODEtMDY3NS00NjY5LTg2YjMtMjdhNGVjOWFjODAzXkEyXkFqcGdeQXVyMTc5OTQwMzk@._V1_UY98_CR2,0,67,98_AL_.jpg",5.9,"5,648",
Sgt. Stubby: An American Hero,"https://m.media-amazon.com/images/M/MV5BMTY5NzEwNDczMl5BMl5BanBnXkFtZTgwMjY1MTY4NDM@._V1_UX67_CR0,0,67,98_AL_.jpg",6.9,"1,933",58
Swimming with Men,"https://m.media-amazon.com/images/M/MV5BMDJlZGQ4M2UtMzkwMi00Nzg2LTkzM2ItYWMzMmQxZGZlNzBmXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_UX67_CR0,0,67,98_AL_.jpg",6.3,"3,448",44
Senso,"https://m.media-amazon.com/images/M/MV5BNzU1MTM4NTUtMDAzMy00MTYyLWI5NDUtZmE2NTQ5OGY3YWIxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",5.1,"1,680",
Chinese Portrait,"https://m.media-amazon.com/images/M/MV5BMThjZjY4ZDAtOThkNC00MTZhLTg4MjYtYzJhZDI2ZGEyOGFjXkEyXkFqcGdeQXVyODAyNDE3Mw@@._V1_UY98_CR1,0,67,98_AL_.jpg",6.3,76,81
Realms,"https://m.media-amazon.com/images/M/MV5BOTg1NDI1MjEyMl5BMl5BanBnXkFtZTgwOTA5MTgwNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",5.5,"29,312",39
Postcards from London,"https://m.media-amazon.com/images/M/MV5BZGM4YWUxNDgtYTlkYS00YzI1LWE5MTUtNzFhMmM3NDI3ZDgzXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_UY98_CR1,0,67,98_AL_.jpg",5.1,924,42
Over the Limit,"https://m.media-amazon.com/images/M/MV5BMTE5MTgyOGYtODlhZC00N2E2LTk3ZTItYmU5NmM3ZDkyNWZhXkEyXkFqcGdeQXVyNTkyMjQwNw@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.4,709,91
Tall Tales from the Magical Garden of Antoon Krings,"https://m.media-amazon.com/images/M/MV5BNTI1NzRiMzQtNzIwZi00YzNiLThlMzAtN2M0NjI1Y2E3OTQ4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY98_CR1,0,67,98_AL_.jpg",4.6,213,
Never-Ending Man: Hayao Miyazaki,"https://m.media-amazon.com/images/M/MV5BMTA2ODIzNjA2MTFeQTJeQWpwZ15BbWU4MDIxMTU1NzYz._V1_UX67_CR0,0,67,98_AL_.jpg",6.8,483,64
Serendipity,"https://m.media-amazon.com/images/M/MV5BNWFhZTc4NDEtNDA0MS00NmFiLWFlNzUtMDM0NTExNjc3NzZhXkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_UX67_CR0,0,67,98_AL_.jpg",6.9,"103,732",52
In Safe Hands,"https://m.media-amazon.com/images/M/MV5BMzEzNTA4ZTMtNjJhZS00YmRmLTkzMjEtNTcxYjU3ODg0ZmFiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",7.2,"1,584",
Indivisible,"https://m.media-amazon.com/images/M/MV5BYTRiNmIwNWMtZWFjOC00OTNjLTlkYTQtNGI3Y2Y0YjdkZGFjXkEyXkFqcGdeQXVyMjA3NDc3MTg@._V1_UX67_CR0,0,67,98_AL_.jpg",5.8,"1,072",53
I Am Not A Witch,"https://m.media-amazon.com/images/M/MV5BMmZiMmEzMzAtYzhiZi00NjMwLWJmNzMtMjRkNTI2YTM5N2FiXkEyXkFqcGdeQXVyNTkyMjQwNw@@._V1_UX67_CR0,0,67,98_AL_.jpg",6.9,"3,028",79
For Those Who Don't Read Me,"https://m.media-amazon.com/images/M/MV5BZjAzZjZiMmQtMDZmOC00NjVmLTkyNTItOGI2Mzg4NTBhZTA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",7.8,"40,221",
Narcissister Organ Player,"https://m.media-amazon.com/images/M/MV5BNmNkOTYxZjUtOTU2NS00ZjM2LTllN2EtMjI0MDBkNmFjZTI4XkEyXkFqcGdeQXVyMTQxNzc5NTU@._V1_UX67_CR0,0,67,98_AL_.jpg",5.4,37,69
The Hours and Times,"https://m.media-amazon.com/images/M/MV5BZGVlNzZiZTYtNzJkYi00MTI5LThmMGYtNThkNzdhOGIyMzhkXkEyXkFqcGdeQXVyMjg4Mzc3ODU@._V1_UX67_CR0,0,67,98_AL_.jpg",6.2,648,
A Fish in the Bathtub,"https://m.media-amazon.com/images/M/MV5BOWJmMGQ1ODktNmVhZC00YmZlLWI2MWYtNGI5MzMwMGQ5MDBkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",5.7,284,
Tea With the Dames,"https://m.media-amazon.com/images/M/MV5BZjI5ZGNmNzItZmM0OC00NDdhLTliMDQtMWI0ZWI3YTE1ZjJlXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_UX67_CR0,0,67,98_AL_.jpg",7.3,"1,914",85
American Playhouse: The Killing Floor,"https://m.media-amazon.com/images/M/MV5BM2E5ZTM2MWItMGZlMi00NGYxLThiM2QtZDFkOGNkOTJmNmZlXkEyXkFqcGdeQXVyNzM1Mzg1MDk@._V1_UX67_CR0,0,67,98_AL_.jpg",7.0,44,
